mdse_item_i, co_loc_i, p_sls_d, customer_paid_price, own_retl_a, sls_retl_a, base_price
5505987,76,6/8/18,1.06,1.12,1.12,1.12
5505987,76,6/11/18,1.12,1.12,1.12,1.12
5505987,76,6/12/18,1.12,1.12,1.12,1.12
5505987,80,5/17/18,1.12,1.12,1.12,1.12
5505987,80,5/17/18,1.12,1.12,1.12,1.12
5505987,80,5/17/18,1.12,1.12,1.12,1.12
5505987,80,5/21/18,1.12,1.12,1.12,1.12
5505987,80,5/22/18,1.06,1.12,1.12,1.12
5505987,80,5/29/18,1.12,1.12,1.12,1.12
5505987,80,6/3/18,1.12,1.12,1.12,1.12
5505987,80,6/4/18,1.12,1.12,1.12,1.12
5505987,80,6/7/18,1.12,1.12,1.12,1.12
5505987,80,6/8/18,1.06,1.12,1.12,1.12
5505987,88,5/17/18,1.16,1.22,1.22,1.22
5505987,88,6/3/18,1.22,1.22,1.22,1.22
5505987,93,5/12/18,1.12,1.12,1.12,1.12
5505987,93,5/22/18,1.12,1.12,1.12,1.12
5505987,93,5/28/18,1.12,1.12,1.12,1.12
5505987,93,6/9/18,1.12,1.12,1.12,1.12
5505987,93,6/9/18,1.12,1.12,1.12,1.12
5505987,93,6/9/18,1.12,1.12,1.12,1.12
5505987,93,6/9/18,1.12,1.12,1.12,1.12
5505987,95,5/11/18,1.12,1.12,1.12,1.12
5505987,95,5/18/18,1.06,1.12,1.12,1.12
5505987,95,5/19/18,1.12,1.12,1.12,1.12
5505987,95,5/25/18,1.12,1.12,1.12,1.12
5505987,95,5/26/18,1.12,1.12,1.12,1.12
5505987,95,6/2/18,1.06,1.12,1.12,1.12
5505987,95,6/2/18,1.12,1.12,1.12,1.12
5505987,95,6/2/18,1.12,1.12,1.12,1.12
5505987,95,6/5/18,1.12,1.12,1.12,1.12
5505987,95,6/8/18,1.12,1.12,1.12,1.12
5505987,95,6/8/18,1.12,1.12,1.12,1.12
5505987,95,6/10/18,1.06,1.12,1.12,1.12
5505987,100,5/11/18,1.12,1.12,1.12,1.12
5505987,100,5/17/18,1.12,1.12,1.12,1.12
5505987,100,5/18/18,1.12,1.12,1.12,1.12
5505987,100,5/18/18,1.12,1.12,1.12,1.12
5505987,100,5/20/18,1.12,1.12,1.12,1.12
5505987,100,5/26/18,1.12,1.12,1.12,1.12
5505987,100,5/26/18,1.12,1.12,1.12,1.12
5505987,100,5/26/18,1.12,1.12,1.12,1.12
5505987,100,5/27/18,1.12,1.12,1.12,1.12
5505987,100,5/29/18,1.01,1.12,1.12,1.12
5505987,100,6/2/18,1.06,1.12,1.12,1.12
5505987,100,6/2/18,1.06,1.12,1.12,1.12
5505987,100,6/3/18,1.06,1.12,1.12,1.12
5505987,100,6/5/18,1.12,1.12,1.12,1.12
5505987,100,6/6/18,1.12,1.12,1.12,1.12
5505987,101,5/10/18,1.12,1.12,1.12,1.12
5505987,101,5/11/18,1.12,1.12,1.12,1.12
5505987,101,5/11/18,1.12,1.12,1.12,1.12
5505987,101,5/11/18,1.12,1.12,1.12,1.12
5505987,101,5/12/18,1.12,1.12,1.12,1.12
5505987,101,5/12/18,1.12,1.12,1.12,1.12
5505987,101,5/12/18,1.12,1.12,1.12,1.12
5505987,101,5/13/18,1.12,1.12,1.12,1.12
5505987,101,5/13/18,1.12,1.12,1.12,1.12
5505987,101,5/14/18,1.1,1.12,1.12,1.12
5505987,101,5/15/18,1.08,1.12,1.12,1.12
5505987,101,5/18/18,1.12,1.12,1.12,1.12
5505987,101,5/25/18,1.12,1.12,1.12,1.12
5505987,101,5/25/18,1.12,1.12,1.12,1.12
5505987,101,5/25/18,1.06,1.12,1.12,1.12
5505987,101,5/25/18,1.06,1.12,1.12,1.12
5505987,101,5/25/18,1.12,1.12,1.12,1.12
5505987,101,5/25/18,1.12,1.12,1.12,1.12
5505987,101,5/26/18,1.12,1.12,1.12,1.12
5505987,101,5/26/18,1.12,1.12,1.12,1.12
5505987,101,5/27/18,1.12,1.12,1.12,1.12
5505987,101,5/27/18,1.12,1.12,1.12,1.12
5505987,101,5/28/18,1.12,1.12,1.12,1.12
5505987,101,5/30/18,1.12,1.12,1.12,1.12
5505987,101,5/30/18,1.12,1.12,1.12,1.12
5505987,101,6/1/18,1.01,1.12,1.12,1.12
5505987,101,6/1/18,1.01,1.12,1.12,1.12
5505987,101,6/1/18,1.12,1.12,1.12,1.12
5505987,101,6/1/18,1.12,1.12,1.12,1.12
5505987,101,6/1/18,1.12,1.12,1.12,1.12
5505987,101,6/1/18,1.12,1.12,1.12,1.12
5505987,101,6/1/18,1.12,1.12,1.12,1.12
5505987,101,6/1/18,1.12,1.12,1.12,1.12
5505987,101,6/4/18,1.12,1.12,1.12,1.12
5505987,101,6/6/18,1.12,1.12,1.12,1.12
5505987,101,6/7/18,1.12,1.12,1.12,1.12
5505987,101,6/9/18,1.12,1.12,1.12,1.12
5505987,102,5/10/18,1.12,1.12,1.12,1.12
5505987,102,5/11/18,1.12,1.12,1.12,1.12
5505987,102,5/13/18,1.12,1.12,1.12,1.12
5505987,102,5/15/18,1.12,1.12,1.12,1.12
5505987,102,5/15/18,1.12,1.12,1.12,1.12
5505987,102,5/15/18,1.12,1.12,1.12,1.12
5505987,102,5/17/18,1.12,1.12,1.12,1.12
5505987,102,5/17/18,1.12,1.12,1.12,1.12
5505987,102,5/18/18,1.12,1.12,1.12,1.12
5505987,102,5/20/18,1.06,1.12,1.12,1.12
5505987,102,5/22/18,1.12,1.12,1.12,1.12
5505987,102,5/23/18,1.06,1.12,1.12,1.12
5505987,102,5/23/18,1.06,1.12,1.12,1.12
5505987,102,5/23/18,1.12,1.12,1.12,1.12
5505987,102,5/25/18,1.12,1.12,1.12,1.12
5505987,102,5/25/18,1.12,1.12,1.12,1.12
5505987,102,5/25/18,1.12,1.12,1.12,1.12
5505987,102,5/25/18,1.12,1.12,1.12,1.12
5505987,102,5/26/18,1.12,1.12,1.12,1.12
5505987,102,5/27/18,1.12,1.12,1.12,1.12
5505987,102,5/29/18,1.12,1.12,1.12,1.12
5505987,102,5/30/18,1.12,1.12,1.12,1.12
5505987,102,5/30/18,1.12,1.12,1.12,1.12
5505987,102,6/1/18,1.06,1.12,1.12,1.12
5505987,102,6/1/18,1.06,1.12,1.12,1.12
5505987,102,6/2/18,1.12,1.12,1.12,1.12
5505987,102,6/5/18,1.12,1.12,1.12,1.12
5505987,102,6/6/18,1.12,1.12,1.12,1.12
5505987,102,6/7/18,1.12,1.12,1.12,1.12
5505987,102,6/7/18,1.06,1.12,1.12,1.12
5505987,102,6/9/18,1.12,1.12,1.12,1.12
5505987,102,6/11/18,1.12,1.12,1.12,1.12
5505987,102,6/11/18,1.12,1.12,1.12,1.12
5505987,102,6/12/18,1.12,1.12,1.12,1.12
5505987,105,5/28/18,1.07,1.07,1.07,1.07
5505987,105,5/28/18,1.02,1.07,1.07,1.07
5505987,105,5/28/18,1.02,1.07,1.07,1.07
5505987,105,5/28/18,1.02,1.07,1.07,1.07
5505987,105,5/28/18,1.02,1.07,1.07,1.07
5505987,105,5/31/18,1.02,1.07,1.07,1.07
5505987,105,6/1/18,1.07,1.07,1.07,1.07
5505987,105,6/2/18,1.07,1.07,1.07,1.07
5505987,105,6/6/18,1.07,1.07,1.07,1.07
5505987,106,5/10/18,1.19,1.19,1.19,1.19
5505987,106,5/11/18,1.13,1.19,1.19,1.19
5505987,106,5/11/18,1.19,1.19,1.19,1.19
5505987,106,5/11/18,1.19,1.19,1.19,1.19
5505987,106,5/12/18,1.19,1.19,1.19,1.19
5505987,106,5/13/18,1.19,1.19,1.19,1.19
5505987,106,5/15/18,1.19,1.19,1.19,1.19
